aalib 1.4rc5-12
libieee1284 0.2.11-7
libimobiledevice 1.2.0+66+g5a85432-2
libindi 1.7.4-1
libinput 1.12.2-1
libixion 0.14.1-1
libjpeg-turbo 2.0.0-1
libkcddb 18.08.2-1
libkcompactdisc 18.08.2-1
libkdcraw 18.08.2-1
libkdegames 18.08.2-1
libkdepim 18.08.2-1
libkeduvocdocument 18.08.2-1
libkexiv2 18.08.2-1
libkgapi 18.08.2-1
libkipi 18.08.2-1
libkleo 18.08.2-1
libkmahjongg 18.08.2-1
libkolabxml 1.1.6-9
libkomparediff2 18.08.2-1
libksane 18.08.2-1
libksba 1.3.5-1
libkscreen 5.14.3-1
libksieve 18.08.2-1
libksysguard 5.14.3-1
liblangtag 0.6.2-1
libldap 2.4.46-2
libmad 0.15.1b-8
libmariadbclient 10.1.36-1
libmbim 1.16.2-1
libmm-glib 1.8.2-1
libmng 2.0.3-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmspub 0.1.4-4
libmsym 0.2.3-1
libmtp 1.1.16-1
libmusicbrainz3 3.0.3-4
libmusicbrainz5 5.1.0-3
libmwaw 0.3.14-1
libndp 1.7-1
libnet 1.1.6-3
libnewt 0.52.20-2
libnftnl 1.1.1-1
libnghttp2 1.34.0-1
libnice 0.1.14+70+gfb2f1f7-1
libnl 3.4.0-1
libnm 1.14.5dev+17+gba83251bb-1
libnm-glib 1.14.5dev+17+gba83251bb-1
libnm-gtk 1.8.19dev+21+geebf7f95-1
libnma 1.8.19dev+21+geebf7f95-1
libnotify 0.7.7-1
libnova 0.15.0-2
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-1
libotr 4.1.1-2
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libpwquality 1.4.0-1
libqaccessibilityclient 0.2.0-3
libqalculate 2.8.1-1
libqmi 1.20.2-1
libqxp 0.0.1-4
libraw 0.19.0-1
libraw1394 2.1.2-1
libreoffice-fresh 6.1.3-1
librevenge 0.0.4-2
librsvg 2:2.44.8-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsignon-glib 2.1-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspectre 0.2.8-1
libspeechd 0.8.8-2
libssh 0.8.5-1
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libstemmer 0+337-2
libsynctex 2018.47465-5
libsystemd 239.300-1
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libtorrent-rasterbar 1:1.1.10-1
libtraceevent 4.19-1
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.2-1
libva 2.3.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-5
libvisual 0.4.0-7
libvncserver 0.9.11-3
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.31-1
libwbclient 4.8.5-1
libwebp 1.0.0-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.7-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxml2 2.9.8-6
libxmu 1.1.2-2
libxpm 3.5.12-1
